DA3 Stage 3 Training Log
======================================================================
Num epochs: 50
Batch size: 2
Validation: Enabled
Pose Benchmark: Enabled (100 samples/epoch)
Device: cuda:0
======================================================================

[TRAIN] Epoch 1/50 | Batch 0/7987 | Loss: -0.299192
[TRAIN] Epoch 1/50 | Batch 10/7987 | Loss: -0.277860
[TRAIN] Epoch 1/50 | Batch 20/7987 | Loss: -0.352981
[TRAIN] Epoch 1/50 | Batch 30/7987 | Loss: -0.312748
[TRAIN] Epoch 1/50 | Batch 40/7987 | Loss: -0.317945
[TRAIN] Epoch 1/50 | Batch 50/7987 | Loss: -0.305527
[TRAIN] Epoch 1/50 | Batch 60/7987 | Loss: -0.316788
[TRAIN] Epoch 1/50 | Batch 70/7987 | Loss: -0.338285
[TRAIN] Epoch 1/50 | Batch 80/7987 | Loss: -0.324677
[TRAIN] Epoch 1/50 | Batch 90/7987 | Loss: -0.345572
[TRAIN] Epoch 1/50 | Batch 100/7987 | Loss: -0.357320
[TRAIN] Epoch 1/50 | Batch 110/7987 | Loss: -0.367369
[TRAIN] Epoch 1/50 | Batch 120/7987 | Loss: -0.366350
[TRAIN] Epoch 1/50 | Batch 130/7987 | Loss: -0.367312
[TRAIN] Epoch 1/50 | Batch 140/7987 | Loss: -0.359327
[TRAIN] Epoch 1/50 | Batch 150/7987 | Loss: -0.379094
[TRAIN] Epoch 1/50 | Batch 160/7987 | Loss: -0.383778
[TRAIN] Epoch 1/50 | Batch 170/7987 | Loss: -0.369411
[TRAIN] Epoch 1/50 | Batch 180/7987 | Loss: -0.360203
[TRAIN] Epoch 1/50 | Batch 190/7987 | Loss: -0.377248
[TRAIN] Epoch 1/50 | Batch 200/7987 | Loss: -0.371770
[TRAIN] Epoch 1/50 | Batch 210/7987 | Loss: -0.372756
[TRAIN] Epoch 1/50 | Batch 220/7987 | Loss: -0.357054
[TRAIN] Epoch 1/50 | Batch 230/7987 | Loss: -0.384733
[TRAIN] Epoch 1/50 | Batch 240/7987 | Loss: -0.344346
[TRAIN] Epoch 1/50 | Batch 250/7987 | Loss: -0.370004
[TRAIN] Epoch 1/50 | Batch 260/7987 | Loss: -0.349709
[TRAIN] Epoch 1/50 | Batch 270/7987 | Loss: -0.376436
[TRAIN] Epoch 1/50 | Batch 280/7987 | Loss: -0.378688
[TRAIN] Epoch 1/50 | Batch 290/7987 | Loss: -0.363865
[TRAIN] Epoch 1/50 | Batch 300/7987 | Loss: -0.359328
[TRAIN] Epoch 1/50 | Batch 310/7987 | Loss: -0.375336
