DA3 Stage 3 Training Log
======================================================================
Num epochs: 20
Batch size: 4
Validation: Enabled
Device: cuda:0
======================================================================

[TRAIN] Epoch 1/20 | Batch 0/2019 | Loss: -0.324553
[TRAIN] Epoch 1/20 | Batch 10/2019 | Loss: -0.291065
[TRAIN] Epoch 1/20 | Batch 20/2019 | Loss: -0.303479
[TRAIN] Epoch 1/20 | Batch 30/2019 | Loss: -0.331906
[TRAIN] Epoch 1/20 | Batch 40/2019 | Loss: -0.340414
[TRAIN] Epoch 1/20 | Batch 50/2019 | Loss: -0.394755
[TRAIN] Epoch 1/20 | Batch 60/2019 | Loss: -0.320181
[TRAIN] Epoch 1/20 | Batch 70/2019 | Loss: -0.401115
[TRAIN] Epoch 1/20 | Batch 80/2019 | Loss: -0.376541
[TRAIN] Epoch 1/20 | Batch 90/2019 | Loss: -0.403294
[TRAIN] Epoch 1/20 | Batch 100/2019 | Loss: -0.390736
[TRAIN] Epoch 1/20 | Batch 110/2019 | Loss: -0.379188
[TRAIN] Epoch 1/20 | Batch 120/2019 | Loss: -0.378960
[TRAIN] Epoch 1/20 | Batch 130/2019 | Loss: -0.424874
[TRAIN] Epoch 1/20 | Batch 140/2019 | Loss: -0.417139
[TRAIN] Epoch 1/20 | Batch 150/2019 | Loss: -0.413357
[TRAIN] Epoch 1/20 | Batch 160/2019 | Loss: -0.410774
[TRAIN] Epoch 1/20 | Batch 170/2019 | Loss: -0.376713
[TRAIN] Epoch 1/20 | Batch 180/2019 | Loss: -0.398777
[TRAIN] Epoch 1/20 | Batch 190/2019 | Loss: -0.399145
[TRAIN] Epoch 1/20 | Batch 200/2019 | Loss: -0.407961
[TRAIN] Epoch 1/20 | Batch 210/2019 | Loss: -0.413451
[TRAIN] Epoch 1/20 | Batch 220/2019 | Loss: -0.406142
[TRAIN] Epoch 1/20 | Batch 230/2019 | Loss: -0.405105
[TRAIN] Epoch 1/20 | Batch 240/2019 | Loss: -0.407295
[TRAIN] Epoch 1/20 | Batch 250/2019 | Loss: -0.405595
[TRAIN] Epoch 1/20 | Batch 260/2019 | Loss: -0.404091
[TRAIN] Epoch 1/20 | Batch 270/2019 | Loss: -0.410149
[TRAIN] Epoch 1/20 | Batch 280/2019 | Loss: -0.410720
[TRAIN] Epoch 1/20 | Batch 290/2019 | Loss: -0.380869
[TRAIN] Epoch 1/20 | Batch 300/2019 | Loss: -0.403368
[TRAIN] Epoch 1/20 | Batch 310/2019 | Loss: -0.375303
[TRAIN] Epoch 1/20 | Batch 320/2019 | Loss: -0.406608
[TRAIN] Epoch 1/20 | Batch 330/2019 | Loss: -0.379064
[TRAIN] Epoch 1/20 | Batch 340/2019 | Loss: -0.417756
[TRAIN] Epoch 1/20 | Batch 350/2019 | Loss: -0.415821
[TRAIN] Epoch 1/20 | Batch 360/2019 | Loss: -0.415467
[TRAIN] Epoch 1/20 | Batch 370/2019 | Loss: -0.401957
[TRAIN] Epoch 1/20 | Batch 380/2019 | Loss: -0.365342
[TRAIN] Epoch 1/20 | Batch 390/2019 | Loss: -0.403108
[TRAIN] Epoch 1/20 | Batch 400/2019 | Loss: -0.419238
[TRAIN] Epoch 1/20 | Batch 410/2019 | Loss: -0.411388
[TRAIN] Epoch 1/20 | Batch 420/2019 | Loss: -0.375739
[TRAIN] Epoch 1/20 | Batch 430/2019 | Loss: -0.418351
[TRAIN] Epoch 1/20 | Batch 440/2019 | Loss: -0.390572
[TRAIN] Epoch 1/20 | Batch 450/2019 | Loss: -0.419450
[TRAIN] Epoch 1/20 | Batch 460/2019 | Loss: -0.360593
[TRAIN] Epoch 1/20 | Batch 470/2019 | Loss: -0.400628
[TRAIN] Epoch 1/20 | Batch 480/2019 | Loss: -0.416427
[TRAIN] Epoch 1/20 | Batch 490/2019 | Loss: -0.396953
[TRAIN] Epoch 1/20 | Batch 500/2019 | Loss: -0.386233
[TRAIN] Epoch 1/20 | Batch 510/2019 | Loss: -0.431731
[TRAIN] Epoch 1/20 | Batch 520/2019 | Loss: -0.312700
[TRAIN] Epoch 1/20 | Batch 530/2019 | Loss: -0.404315
[TRAIN] Epoch 1/20 | Batch 540/2019 | Loss: -0.409302
[TRAIN] Epoch 1/20 | Batch 550/2019 | Loss: -0.407886
[TRAIN] Epoch 1/20 | Batch 560/2019 | Loss: -0.416539
