DA3 Stage 3 Training Log
======================================================================
Num epochs: 20
Batch size: 4
Validation: Enabled
Pose Benchmark: Enabled (20 samples/epoch)
Device: cuda:0
======================================================================

[TRAIN] Epoch 1/20 | Batch 0/2019 | Loss: -0.311567
[TRAIN] Epoch 1/20 | Batch 10/2019 | Loss: -0.304345
[TRAIN] Epoch 1/20 | Batch 20/2019 | Loss: -0.354865
[TRAIN] Epoch 1/20 | Batch 30/2019 | Loss: -0.370929
[TRAIN] Epoch 1/20 | Batch 40/2019 | Loss: -0.367344
[TRAIN] Epoch 1/20 | Batch 50/2019 | Loss: -0.370018
[TRAIN] Epoch 1/20 | Batch 60/2019 | Loss: -0.311614
[TRAIN] Epoch 1/20 | Batch 70/2019 | Loss: -0.399905
[TRAIN] Epoch 1/20 | Batch 80/2019 | Loss: -0.428860
[TRAIN] Epoch 1/20 | Batch 90/2019 | Loss: -0.363613
[TRAIN] Epoch 1/20 | Batch 100/2019 | Loss: -0.425292
[TRAIN] Epoch 1/20 | Batch 110/2019 | Loss: -0.395162
[TRAIN] Epoch 1/20 | Batch 120/2019 | Loss: -0.402447
[TRAIN] Epoch 1/20 | Batch 130/2019 | Loss: -0.418179
[TRAIN] Epoch 1/20 | Batch 140/2019 | Loss: -0.442191
[TRAIN] Epoch 1/20 | Batch 150/2019 | Loss: -0.434389
[TRAIN] Epoch 1/20 | Batch 160/2019 | Loss: -0.408475
[TRAIN] Epoch 1/20 | Batch 170/2019 | Loss: -0.440114
[TRAIN] Epoch 1/20 | Batch 180/2019 | Loss: -0.408536
[TRAIN] Epoch 1/20 | Batch 190/2019 | Loss: -0.426308
[TRAIN] Epoch 1/20 | Batch 200/2019 | Loss: -0.434718
[TRAIN] Epoch 1/20 | Batch 210/2019 | Loss: -0.434306
[TRAIN] Epoch 1/20 | Batch 220/2019 | Loss: -0.431212
[TRAIN] Epoch 1/20 | Batch 230/2019 | Loss: -0.439134
[TRAIN] Epoch 1/20 | Batch 240/2019 | Loss: -0.433854
[TRAIN] Epoch 1/20 | Batch 250/2019 | Loss: -0.447003
[TRAIN] Epoch 1/20 | Batch 260/2019 | Loss: -0.431288
[TRAIN] Epoch 1/20 | Batch 270/2019 | Loss: -0.427928
[TRAIN] Epoch 1/20 | Batch 280/2019 | Loss: -0.420655
[TRAIN] Epoch 1/20 | Batch 290/2019 | Loss: -0.435927
[TRAIN] Epoch 1/20 | Batch 300/2019 | Loss: -0.446529
[TRAIN] Epoch 1/20 | Batch 310/2019 | Loss: -0.443648
[TRAIN] Epoch 1/20 | Batch 320/2019 | Loss: -0.431000
[TRAIN] Epoch 1/20 | Batch 330/2019 | Loss: -0.440950
[TRAIN] Epoch 1/20 | Batch 340/2019 | Loss: -0.424688
[TRAIN] Epoch 1/20 | Batch 350/2019 | Loss: -0.435674
[TRAIN] Epoch 1/20 | Batch 360/2019 | Loss: -0.428068
[TRAIN] Epoch 1/20 | Batch 370/2019 | Loss: -0.434819
[TRAIN] Epoch 1/20 | Batch 380/2019 | Loss: -0.427082
[TRAIN] Epoch 1/20 | Batch 390/2019 | Loss: -0.443597
[TRAIN] Epoch 1/20 | Batch 400/2019 | Loss: -0.443149
[TRAIN] Epoch 1/20 | Batch 410/2019 | Loss: -0.447156
[TRAIN] Epoch 1/20 | Batch 420/2019 | Loss: -0.437930
[TRAIN] Epoch 1/20 | Batch 430/2019 | Loss: -0.443462
[TRAIN] Epoch 1/20 | Batch 440/2019 | Loss: -0.442684
[TRAIN] Epoch 1/20 | Batch 450/2019 | Loss: -0.444856
[TRAIN] Epoch 1/20 | Batch 460/2019 | Loss: -0.435620
[TRAIN] Epoch 1/20 | Batch 470/2019 | Loss: -0.433688
[TRAIN] Epoch 1/20 | Batch 480/2019 | Loss: -0.429326
[TRAIN] Epoch 1/20 | Batch 490/2019 | Loss: -0.436686
[TRAIN] Epoch 1/20 | Batch 500/2019 | Loss: -0.443240
[TRAIN] Epoch 1/20 | Batch 510/2019 | Loss: -0.435235
[TRAIN] Epoch 1/20 | Batch 520/2019 | Loss: -0.441624
[TRAIN] Epoch 1/20 | Batch 530/2019 | Loss: -0.444321
[TRAIN] Epoch 1/20 | Batch 540/2019 | Loss: -0.426899
[TRAIN] Epoch 1/20 | Batch 550/2019 | Loss: -0.436025
[TRAIN] Epoch 1/20 | Batch 560/2019 | Loss: -0.441223
[TRAIN] Epoch 1/20 | Batch 570/2019 | Loss: -0.440027
[TRAIN] Epoch 1/20 | Batch 580/2019 | Loss: -0.436658
[TRAIN] Epoch 1/20 | Batch 590/2019 | Loss: -0.432189
[TRAIN] Epoch 1/20 | Batch 600/2019 | Loss: -0.434226
[TRAIN] Epoch 1/20 | Batch 610/2019 | Loss: -0.439591
[TRAIN] Epoch 1/20 | Batch 620/2019 | Loss: -0.438748
[TRAIN] Epoch 1/20 | Batch 630/2019 | Loss: -0.447312
[TRAIN] Epoch 1/20 | Batch 640/2019 | Loss: -0.426803
[TRAIN] Epoch 1/20 | Batch 650/2019 | Loss: -0.423294
[TRAIN] Epoch 1/20 | Batch 660/2019 | Loss: -0.436782
[TRAIN] Epoch 1/20 | Batch 670/2019 | Loss: -0.438145
[TRAIN] Epoch 1/20 | Batch 680/2019 | Loss: -0.420592
[TRAIN] Epoch 1/20 | Batch 690/2019 | Loss: -0.433931
[TRAIN] Epoch 1/20 | Batch 700/2019 | Loss: -0.443782
[TRAIN] Epoch 1/20 | Batch 710/2019 | Loss: -0.431843
[TRAIN] Epoch 1/20 | Batch 720/2019 | Loss: -0.435236
