FAT Phase 3 V2 Training Log (Combined Loss)
======================================================================
Num epochs: 10
Batch size: 1
Max ahead: 3
Learning rate: 1e-05
Weight decay: 0.0001
Lambda flow: 1.0
Lambda calib: 0.0001
GradScaler: Enabled
Alternating training: Disabled (train both)
Validation: Enabled
Benchmark: Enabled
Device: cuda:0
======================================================================

[TRAIN] Epoch 1 | Batch 0/8005 | Loss: -0.199257 | Flow: -0.213417 | Calib: 141.5919 | CalibContrib: 6.2%
[TRAIN] Epoch 1 | Batch 10/8005 | Loss: -0.289122 | Flow: -0.297975 | Calib: 88.5260 | CalibContrib: 2.9%
[TRAIN] Epoch 1 | Batch 20/8005 | Loss: -0.294126 | Flow: -0.299558 | Calib: 54.3111 | CalibContrib: 1.8%
[TRAIN] Epoch 1 | Batch 30/8005 | Loss: -0.275365 | Flow: -0.280186 | Calib: 48.2182 | CalibContrib: 1.7%
[TRAIN] Epoch 1 | Batch 40/8005 | Loss: -0.310958 | Flow: -0.320171 | Calib: 92.1331 | CalibContrib: 2.8%
[TRAIN] Epoch 1 | Batch 50/8005 | Loss: -0.290164 | Flow: -0.292780 | Calib: 26.1616 | CalibContrib: 0.9%
[TRAIN] Epoch 1 | Batch 60/8005 | Loss: -0.224034 | Flow: -0.227255 | Calib: 32.2142 | CalibContrib: 1.4%
[TRAIN] Epoch 1 | Batch 70/8005 | Loss: -0.314101 | Flow: -0.315568 | Calib: 14.6761 | CalibContrib: 0.5%
[TRAIN] Epoch 1 | Batch 80/8005 | Loss: -0.285794 | Flow: -0.287503 | Calib: 17.0954 | CalibContrib: 0.6%
[TRAIN] Epoch 1 | Batch 90/8005 | Loss: -0.321048 | Flow: -0.324538 | Calib: 34.9007 | CalibContrib: 1.1%
[TRAIN] Epoch 1 | Batch 100/8005 | Loss: -0.274544 | Flow: -0.279865 | Calib: 53.2123 | CalibContrib: 1.9%
[TRAIN] Epoch 1 | Batch 110/8005 | Loss: -0.280046 | Flow: -0.283006 | Calib: 29.5989 | CalibContrib: 1.0%
[TRAIN] Epoch 1 | Batch 120/8005 | Loss: -0.241770 | Flow: -0.243299 | Calib: 15.2923 | CalibContrib: 0.6%
[TRAIN] Epoch 1 | Batch 130/8005 | Loss: -0.291703 | Flow: -0.294110 | Calib: 24.0674 | CalibContrib: 0.8%
[TRAIN] Epoch 1 | Batch 140/8005 | Loss: -0.321516 | Flow: -0.325228 | Calib: 37.1173 | CalibContrib: 1.1%
[TRAIN] Epoch 1 | Batch 150/8005 | Loss: -0.325225 | Flow: -0.327642 | Calib: 24.1783 | CalibContrib: 0.7%
[TRAIN] Epoch 1 | Batch 160/8005 | Loss: -0.269243 | Flow: -0.277957 | Calib: 87.1432 | CalibContrib: 3.0%
[TRAIN] Epoch 1 | Batch 170/8005 | Loss: -0.323163 | Flow: -0.325622 | Calib: 24.5885 | CalibContrib: 0.7%
[TRAIN] Epoch 1 | Batch 180/8005 | Loss: -0.309282 | Flow: -0.311776 | Calib: 24.9317 | CalibContrib: 0.8%
[TRAIN] Epoch 1 | Batch 190/8005 | Loss: -0.322083 | Flow: -0.325762 | Calib: 36.7895 | CalibContrib: 1.1%
[TRAIN] Epoch 1 | Batch 200/8005 | Loss: -0.307588 | Flow: -0.310044 | Calib: 24.5560 | CalibContrib: 0.8%
[TRAIN] Epoch 1 | Batch 210/8005 | Loss: -0.319822 | Flow: -0.322410 | Calib: 25.8790 | CalibContrib: 0.8%
[TRAIN] Epoch 1 | Batch 220/8005 | Loss: -0.341843 | Flow: -0.342282 | Calib: 4.3869 | CalibContrib: 0.1%
[TRAIN] Epoch 1 | Batch 230/8005 | Loss: -0.313433 | Flow: -0.314861 | Calib: 14.2703 | CalibContrib: 0.5%
[TRAIN] Epoch 1 | Batch 240/8005 | Loss: -0.345150 | Flow: -0.347039 | Calib: 18.8906 | CalibContrib: 0.5%
[TRAIN] Epoch 1 | Batch 250/8005 | Loss: -0.317683 | Flow: -0.318439 | Calib: 7.5522 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 260/8005 | Loss: -0.329947 | Flow: -0.331196 | Calib: 12.4879 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 270/8005 | Loss: -0.320846 | Flow: -0.322189 | Calib: 13.4310 | CalibContrib: 0.4%
[TRAIN] Epoch 1 | Batch 280/8005 | Loss: -0.272474 | Flow: -0.276910 | Calib: 44.3579 | CalibContrib: 1.6%
[TRAIN] Epoch 1 | Batch 290/8005 | Loss: -0.339365 | Flow: -0.339920 | Calib: 5.5499 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 300/8005 | Loss: -0.321626 | Flow: -0.322230 | Calib: 6.0399 | CalibContrib: 0.2%
[TRAIN] Epoch 1 | Batch 310/8005 | Loss: -0.328217 | Flow: -0.329525 | Calib: 13.0854 | CalibContrib: 0.4%
