Training Log - Pose Head Experiment
======================================================================
Num epochs: 10
Batch size: 4
Device: cuda
======================================================================

[TRAIN] Epoch 1/10 | Batch 0/157 | Loss: -0.336670
[TRAIN] Epoch 1/10 | Batch 10/157 | Loss: 2.901803
[TRAIN] Epoch 1/10 | Batch 20/157 | Loss: -1.115725
[TRAIN] Epoch 1/10 | Batch 30/157 | Loss: -0.877852
[TRAIN] Epoch 1/10 | Batch 40/157 | Loss: -1.616942
[TRAIN] Epoch 1/10 | Batch 50/157 | Loss: -1.788687
[TRAIN] Epoch 1/10 | Batch 60/157 | Loss: -1.021147
[TRAIN] Epoch 1/10 | Batch 70/157 | Loss: -0.924197
[TRAIN] Epoch 1/10 | Batch 80/157 | Loss: -3.919201
[TRAIN] Epoch 1/10 | Batch 90/157 | Loss: -2.485680
[TRAIN] Epoch 1/10 | Batch 100/157 | Loss: -2.933462
[TRAIN] Epoch 1/10 | Batch 110/157 | Loss: -2.818157
[TRAIN] Epoch 1/10 | Batch 120/157 | Loss: -3.259207
[TRAIN] Epoch 1/10 | Batch 130/157 | Loss: -3.074316
[TRAIN] Epoch 1/10 | Batch 140/157 | Loss: -3.771985
[TRAIN] Epoch 1/10 | Batch 150/157 | Loss: -3.096319

[EPOCH 1] Average Loss: -1.745049

[TRAIN] Epoch 2/10 | Batch 0/157 | Loss: -3.215093
[TRAIN] Epoch 2/10 | Batch 10/157 | Loss: -3.818627
[TRAIN] Epoch 2/10 | Batch 20/157 | Loss: -4.351846
[TRAIN] Epoch 2/10 | Batch 30/157 | Loss: -3.770395
[TRAIN] Epoch 2/10 | Batch 40/157 | Loss: -3.395860
[TRAIN] Epoch 2/10 | Batch 50/157 | Loss: -3.527440
[TRAIN] Epoch 2/10 | Batch 60/157 | Loss: -4.049910
[TRAIN] Epoch 2/10 | Batch 70/157 | Loss: -3.770670
[TRAIN] Epoch 2/10 | Batch 80/157 | Loss: -4.048392
[TRAIN] Epoch 2/10 | Batch 90/157 | Loss: -3.972135
[TRAIN] Epoch 2/10 | Batch 100/157 | Loss: -4.263370
[TRAIN] Epoch 2/10 | Batch 110/157 | Loss: -4.236622
[TRAIN] Epoch 2/10 | Batch 120/157 | Loss: -4.807209
[TRAIN] Epoch 2/10 | Batch 130/157 | Loss: -4.075130
[TRAIN] Epoch 2/10 | Batch 140/157 | Loss: -4.021482
[TRAIN] Epoch 2/10 | Batch 150/157 | Loss: -4.372706

[EPOCH 2] Average Loss: -3.935191

[TRAIN] Epoch 3/10 | Batch 0/157 | Loss: -4.526212
[TRAIN] Epoch 3/10 | Batch 10/157 | Loss: -5.238515
[TRAIN] Epoch 3/10 | Batch 20/157 | Loss: -4.302787
[TRAIN] Epoch 3/10 | Batch 30/157 | Loss: -4.271113
[TRAIN] Epoch 3/10 | Batch 40/157 | Loss: -4.353081
[TRAIN] Epoch 3/10 | Batch 50/157 | Loss: -4.090797
[TRAIN] Epoch 3/10 | Batch 60/157 | Loss: -4.503703
[TRAIN] Epoch 3/10 | Batch 70/157 | Loss: -4.297017
[TRAIN] Epoch 3/10 | Batch 80/157 | Loss: -3.953051
[TRAIN] Epoch 3/10 | Batch 90/157 | Loss: -3.439749
[TRAIN] Epoch 3/10 | Batch 100/157 | Loss: -3.747654
[TRAIN] Epoch 3/10 | Batch 110/157 | Loss: -4.033370
[TRAIN] Epoch 3/10 | Batch 120/157 | Loss: -4.606563
[TRAIN] Epoch 3/10 | Batch 130/157 | Loss: -3.919619
[TRAIN] Epoch 3/10 | Batch 140/157 | Loss: -4.383669
[TRAIN] Epoch 3/10 | Batch 150/157 | Loss: -3.919271

[EPOCH 3] Average Loss: -4.210575

[TRAIN] Epoch 4/10 | Batch 0/157 | Loss: -4.245235
[TRAIN] Epoch 4/10 | Batch 10/157 | Loss: -4.454869
[TRAIN] Epoch 4/10 | Batch 20/157 | Loss: -4.354538
[TRAIN] Epoch 4/10 | Batch 30/157 | Loss: -4.670485
[TRAIN] Epoch 4/10 | Batch 40/157 | Loss: -4.156191
[TRAIN] Epoch 4/10 | Batch 50/157 | Loss: -4.952456
[TRAIN] Epoch 4/10 | Batch 60/157 | Loss: -4.053384
[TRAIN] Epoch 4/10 | Batch 70/157 | Loss: -4.401291
[TRAIN] Epoch 4/10 | Batch 80/157 | Loss: -4.875995
[TRAIN] Epoch 4/10 | Batch 90/157 | Loss: -4.788200
